bank,quarter,speaker,firm,topic,finbert_sentiment,text
barclays,2024-annual,Perlie Mong,Bank of America,-1,positive,"Hello. Thank you, Venkat. Thank you, Anna, for taking my question."
barclays,2024-annual,Ben Toms,RBC,-1,neutral,"Ben Toms from RBC. Thanks for taking my questions.
There's been a lot of discussion over the last month around the government going softer on
regulation. For example, changes in LTV restrictions. Do any of the changes that have been put
forward actually have the potential to be material tailwinds? And how useful would it be to
Barclays if there was a levelling of the playing field on ring fencing so you could use the first £35
billion of your deposits to fund other parts of the Group?"
barclays,2024-annual,Andrew Coombs,Citi,1,neutral,"Morning.
If I could just start with costs. Thank you for Slide 47. I'm just going to rephrase the slide, I guess,
essentially. £16.7 billion of costs in 2024. If we're thinking about this in absolute cost terms
rather than cost income, given that you've got the U.K. Tesco double run, investment in"
barclays,2024-annual,KianAbouhossein,JP Morgan,-1,neutral,"I had two questions. The first one is regarding the fixed income business. You discussed around
the market share gains and equities. And I just want to understand a little bit where you are on
the market share gains on fixed income, if you can talk a little bit about what has to happen for
that to come through.
And then, secondly, just getting back to Tesco Bank, I mean, for me, what's more interesting is
actually the customers that you gain. So, can you talk a little bit about the 3 million roughly
active customers in terms of overlap, but also the 20 million clubcard customers, what is really
the opportunity in terms of data that you're getting in the long term?
C.S. Venkatakrishnan"
barclays,2024-annual,Chris Cant,Autonomous,-1,negative,"Good morning. It's Chris Cant from Autonomous. Thanks for taking my questions. I had a couple
ffi
on RWAs, please, and then one on head o ce.
So, on Slide 45, you present your RoTE bridge, and you gave us the similar slide last year. You've
got a 1.3% headwind in there over the two-year period from RWA growth. But obviously, some
of the regulatory impacts have been pushed back. Your American Airlines card book is coming
out. And essentially, I think you're probably going to undershoot your RWA growth target for US
Cards.
Why hasn't that RWA headwind come down relative to where you were last year? So, in the
equivalent bridge, '24 to '26, a year ago, you said greater than 1% headwind from RWAs. Now,
you're saying less than, I think it's less than 1.3% if I add those together. So, it seems to have
gone up despite the fact the RWA growth outlook looks better. What's going on there? Are we
missing something? Because the reg headwinds have been pushed further into the future. So,
it's now a 1.3% reduction here from RWAs in the RoTE bridge, and it was greater than 1% a year
ago. So, it looks like it's got worse despite the fact the RWA growth should be less. So, if you
could speak to that.
And sort of related on the deregulatory point, FRTB, I don't think you've ever given us a number."
barclays,2024-annual,Elise Yu Ge,KBW,-1,neutral,"Hello. It's Elise from KBW. Thank you for taking my questions. I've got two, both on IB numbers, if
that's okay. So, first is risk-weighted assets which decreased to 56% of the Group from 58%.
And that includes Tesco acquisitions. So, in terms of the target, how should we think about the
evolution to 50% by the end of '26? What exactly is the step down here? And then just in terms
of modelling, is the £199 billion the new level of numbers we should be using going forward, or
are we expecting it back to, say, '23 level, which is £197 billion? That's my first question, just with
two parts.
And second is RoTE. So, to hit the RoTE expectation, which is in line with the Group, more than
12%, it needs to improve earnings by about 23% without more capital. I'm just wondering how
exactly are you going to achieve that? I know, Anna, you mentioned more stabilised revenue and
disciplined costs, but are there any other areas that you're focused on that we should be aware
of? Thank you.
C.S. Venkatakrishnan"
barclays,2024-annual,Amit Goel,Mediobanca,5,neutral,"Hi, thank you. It's Amit Goel here from Mediobanca. So, two questions. One, again, just coming
back to broader strategy, but I guess just thinking about the world as it is today versus how it
was maybe 12 months ago when you were putting the plan together, and the kind of opportunity
set that you see, it looks like there's perhaps a bit more opportunity in the US. Maybe
regulations a bit slower, discussion about growth in the UK, relative.
So, I appreciate you're executing against the plan that you've laid out, just around 12 months
ago, but curious if you were to rethink about it or think about where you would position capital, if
you're looking at it today, if there are any changes or anything else you would consider or think
about.
And then secondly, maybe a bit more kind of detail, but I think on the RoTE the Group delivered
for the year, this year, the 10.5%, I think, Q3, that was kind of guided to. So, I think the
environment was a bit better in Q4 from an FX and IB trading standpoint, maybe a slightly bigger
gain on Tesco. So just curious if there are any other factors that worked slightly in the other way
that you saw. Thank you.
C.S. Venkatakrishnan"
barclays,2024-q1,Joseph Dickerson,Jefferies,2,positive,"I just had a couple of questions on the UK business and then the US business. Just in terms of the UK
balance sheet versus the NII performance, and I note that the NIM, which I'm glad we're not talking about
as much anymore, was up 2 bps. And it looks like separately, the current account mix shift is starting to
settle now with GBP 59 billion of current account balances versus GBP 60 billion last quarter. So do you
think that we have kind of arrested the mix away from current accounts? I mean, clearly, the Bank of"
barclays,2024-q1,Rohith Chandra-Rajan,Bank of America,2,positive,"I had a couple on revenues, please. The first one's just coming to the Investment Bank, where revenue
performance is well below peers even after adjusting for the one-offs that you flagged, and that's
particularly the case for FICC and fees and even equities is off quite a low Q1 2023 base. So thanks very
much for the colour that you've given us in terms of the product narrative. I was just wondering, because
you target a lot of market share gain and quite a lot of improvement in return on risk-weighted assets, I'm
just wondering when we should think about that from a timing perspective? Is that a similar sort of time
3
frame to what Venkat was talking about in terms of the euro rates benefits coming through. So thinking
about seeing those market share and RoRWA benefits over the coming quarters. Is that realistic for the IB
as a whole?
And then the second one is just back on Barclays UK actually. Anna talked about mortgage flows being in
line with 2022. I just wanted to clarify what you were talking about there. Is that gross lending? Or is it
approvals because I think approvals particularly are up year-on-year significantly.
Anna Cross
Okay. Thanks, Rohit. I'll take both of those questions, and I'll start with the first. Venkat might wish to add.
So you're right. There are two particular quirks, if you like, in both Equities and our FICC numbers. In
Equities, there's a one-off in the current quarter, which we've called out, actually, excluding that, the
business is up 11% in dollar terms, which we actually believe compares very favourably to our US peers
and demonstrates that we're making progress - we called out cash, we all called out prime, and we called
out equity derivatives, which, of course, is one of our focus areas.
FICC, on the other hand, you might recall this time last year, we were talking about some inflation-specific
income in there, that does colour the comparisons a little bit. But even after we split that out, it's down
14% in dollar terms, which we don't believe lines up too unfavourably against our US peers.
There's a few things going on in there. We are pleased with the progress in securitised products. And in
previous quarters, we would have said we're small in that business, we still are. But we've been able to
monetise it much more effectively because of the investments that we've put in. And then across banking,"
barclays,2024-q1,Ed Firth,KBW,5,neutral,"Can I just ask you about capital? And firstly, could you just update us if there is any update on the US cards
business. I think it's Q3. I think we had GBP 16 billion. I'm not sure if that was my number or your number,
additional risk-weighted assets which I guess if you put on a pro forma now, that takes you really down to
13 or a little bit below. So I guess the first question is, is that still the right sort of number?
And then the second question is, I thought that the German consumer disposal would pay for some of that,
if that makes sense. And therefore, you still have plenty of capital in the second half. But it sounds like
that's not going to be so likely now. So am I right about that? Should we really be thinking that Q3 is going
to be a low point for capital? And how should we think about that in terms of capital distribution in the
second half?
4
Anna Cross
Thanks, Ed. There's a lot in that, but let me try and keep up. So no change to our guidance around the US
cards regulatory model changes. So still expecting 16. Still expecting that in the third quarter."
barclays,2024-q1,Robin Down,HSBC,-1,neutral,"Just two. So just to confirm, the GBP 300 million reduction in NII within BUK, that was set before the BoE
levy kind of changes? I'm going to get probably about a GBP 50 million NII benefit within BUK. Just if you
could clear that up.
Second question, a much broader question. Obviously, you've got a RoTE target for this year of greater
than 10%. I think consensus is currently around 8.8%. And when I look at the numbers, it looks like you
need about GBP 1 billion revenue growth based on your 2024 RoTE bridge. And that's just not something
that consensus or my own forecast currently have factored in. I think consensus has about GBP 250 million
of income growth. I guess a great disparity there must particularly be in the IB given you've given us fairly
precise guidance on things like NII elsewhere. I'm just wondering if there's anything hard and fast you can
point to and say, look, I think consensus is just wrong on this number when you look at our models? Any
colour there, that would be greatly appreciated.
Anna Cross
Okay. Thanks, Robin. So on the first one, our circa GBP 6.1 billion for BUK was struck for the 20th of
February, which was before these changes. Just mathematically, that is true. But we are in the first
quarter, which is why I'd reiterate, we're happy with our progress thus far.
In terms of your RoTE of greater than 10%, the 12.3% that we've delivered in the first quarter is exactly
where we thought we would be. And within that, the constituent parts are what I was looking for. So
number one, real stability and income, particularly in NII and particularly in our financing businesses. They
provide real ballast to our income overall, the 68% of income in the quarter, and that's what we're focused
on growing because it's a really good base for us to deploy the RWAs into the UK and to focus on those
areas within the IB.
The second thing I was looking for was delivery of costs and efficiency. We said GBP 1 billion for the full
year. We've delivered GBP 200 million of that in the first quarter. So we're on track there."
barclays,2024-q2,Alvaro Serrano,Morgan Stanley,1,neutral,"Thanks for taking my questions. Good morning. One on costs, please. Anna, in the roundtable, I think it
was in May, you mentioned there would be structural costs in Q2."
barclays,2024-q2,Benjamin Toms,RBC,0,neutral,"Good morning. Thank you for taking my question. The first one is on the RoTE. It's tracking ahead of
guidance for this year. [To the extent to which your RoTE is ahead of your plan, is there any possibility that
you would reconsider your capital distribution plan of at least £10bn over the next few years, or should we
think of that as being locked in whatever the P&L is]?
And then secondly, [where do you expect the structural hedge notional to be by the end of this year?
You've been quite conservative on this metric since your February Investor Update plan was announced.
Is a £3bn to £4bn reduction in the amount you've seen so far this year a good run rate for modelling?] Thank
you.
Anna Cross
Thank you very much, Ben. In RoTE terms and in terms of delivery of our plan, we are on track versus
where we would expect to be at this stage after two quarters. So we're firmly in line with our plan, and
therefore it wouldn't cause us to change either our RoTE guidance for this year or the longer-term, or
indeed our capital distribution plans, and that's why we've reiterated them today.
In terms of deposit trends, you're right, we've seen greater stability, or that stability come a little faster
than we expected. Perhaps that's how to think about it. We do, however, expect the structural hedge
notional to continue to fall broadly in line with broader deposit trends. Customers continue to seek yield,
even though they're doing so at a much slower level of migration than before.
2
But we reassess that structural hedge very carefully with each passing month. We regard it as a key way
in which we manage the interest rate risk in our income line, so we'll continue to monitor it and update as
we go. But at this point, I wouldn't change the sort of overall pathway."
barclays,2024-q2,Guy Stebbings,BNP Paribas,0,neutral,"Hi, morning all. Thanks for taking the question. Just some questions around Slide 10 on the [structural]
hedge."
barclays,2024-q2,Amit Goel,Mediobanca,0,neutral,"Hi. Thank you. My two questions, maybe they follow on a little bit from Joe's, but the first one is, I think,
consensus outside of the IB now already largely reflects the 2026 target. So, again, I'm just wondering
how much scope there is to beat those levels, I mean, especially in the UK, where rates are better. And I
guess by extending the duration of the hedge, I suppose the deposits are a bit more sticky. You're talking
about stabilisation, so the 25% reduction in hedge size. I'm not sure if that does seem a bit too
conservative?
And then the second question is, again, just on the capital allocation. So I appreciate you commented
that some of the RWA increase in the IB has been a bit temporary in the quarter, but that is where we've
seen most of the increase year-to-date and quarter-to-date. So I'm just curious when we'll start to see
the allocation trend towards that 50% target, which could be important for seeing other re-ratings.
Thank you.
Anna Cross
Okay. Thanks, Amit. In terms of the pathway on NII, not only for BUK, but for the other parts of that
complex, so Corporate Banking, International Corporate Banking, and indeed our Private Banking and
3
Wealth Management business. I mean, obviously, the trends that we're seeing around deposits and
indeed rates are helpful, but we do see them as an underpin and hopefully an indication of our confidence
in reaching those 2026 numbers. And as relates to the hedge, as I said, I'm not going to mark to market
that hedge income on a quarterly basis. We gave you some moving parts. And just to remind everybody,
we've got £170bn maturing over the three years. We've got a maturing yield of about 1.5%. We expect at
high level to roll about 75% of that. And at the time of the Investor Update, when swap rates were around
3.5%, we said that would probably yield around £2bn. Again, there are some movements in the yield
curve that might, in isolation, push that number up a bit. But this is a plan of many, many parts. So, we're
very focused on delivering the greater than 12% RoTE in the round.
On your second question around capital allocation, I would reiterate, we think those RWAs are largely
temporary and there's obviously also a natural seasonality to the RWA path within the IB I think more
fundamentally though, what we're talking about here is a two-part strategy. Firstly, holding [IB RWAs]
broadly flat [to 2023 year-end levels] and secondly, growing elsewhere. So you're going to see this
meaningfully change as a per"
barclays,2024-q2,Ed Firth,KBW,5,positive,"Yes, morning, everybody. I had two questions, please. The first one was US cards credit quality. I think it's
good to see the provision charge has turned, but if I look at your non-performing loans in the quarter, they
were up, I think, 7% or 8%. So just trying to get a sense as to where we are in that cycle and how we should
expect that to progress from here, if that's okay."
barclays,2024-q2,Chris Cant,Autonomous,-1,neutral,"Good morning, thank you for taking my questions. I have one on BUK and one on consumer please, US"
