bank,quarter,speaker,topic,metric,metric_label,summary
hsbc,2025-q1,KATHERINE LEI,1,total_income,total income / revenue,"For the Bank of England, summarise what this bank earnings Q&A says about total income / revenue . Be factual. If the metric is not discussed, say so. If you have a specific question, please answer it . For investors in this part of the world, I think it’s widely expected that the Chinese government will have more stimulus policy because of the tariffs ."
hsbc,2025-q1,KATHERINE LEI,1,operating_costs,operating costs / expenses,"For the Bank of England, summarise what this bank earnings Q&A says about operating costs / expenses . Be factual. If the metric is not discussed, say so. If you have a specific metric that is not being discussed, it will be discussed . For investors in this part of the world, I think it’s widely expected that the Chinese government will have more stimulus policy"
hsbc,2025-q1,KATHERINE LEI,1,credit_impairment,credit impairments / loan losses,"For the Bank of England, summarise what this bank earnings Q&A says about credit impairments / loan losses . Be factual. If the metric is not discussed, say so . Thank you for your views on loan growth and deposit and interest-generating asset growth ."
hsbc,2025-q1,KATHERINE LEI,1,cet1_ratio,capital ratio / CET1,"For the Bank of England, summarise what this bank earnings Q&A says about capital ratio / CET1 . Be factual. If the metric is not discussed, say so. If you have a specific question, please answer it. Thank you for your comments. For more information, please contact the bank.com/bank.com ."
hsbc,2025-interim,KATHERINE LEI,1,total_income,total income / revenue,"For the Bank of England, summarise what this bank earnings Q&A says about total income / revenue . Be factual. If the metric is not discussed, say so . For the last question is for Georges - on tokenised deposits. So may I know, for this tokenised deposit, is it only for HSBC clients or also available for HSBC’s clients’ clients"
hsbc,2025-interim,KATHERINE LEI,1,operating_costs,operating costs / expenses,"For the Bank of England, summarise what this bank earnings Q&A says about operating costs / expenses . Be factual. If the metric is not discussed, say so. If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on CET1 ratios and share buyback and EPS?"
hsbc,2025-interim,KATHERINE LEI,1,credit_impairment,credit impairments / loan losses,"For the Bank of England, summarise what this bank earnings Q&A says about credit impairments / loan losses . Be factual. If the metric is not discussed, say so. If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on CET1 ratios and share buybacks?"
hsbc,2025-interim,KATHERINE LEI,1,cet1_ratio,capital ratio / CET1,"For the Bank of England, summarise what this bank earnings Q&A says about capital ratio / CET1 . Be factual. If the metric is not discussed, say so. If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on your CET1 ratios?"
barclays,2025-annual,Perlie Mong,0,total_income,total income / revenue,"For the Bank of England, summarise what this bank earnings Q&A says about total income / revenue . Be factual. If the metric is not discussed, say so. If you want to talk about it, please do so. The bank is probably below, and the [US] Consumer Bank is above. And with the [UK] part also growing volumes and greater than 5%."
barclays,2025-annual,Perlie Mong,0,operating_costs,operating costs / expenses,"For the Bank of England, summarise what this bank earnings Q&A says about operating costs / expenses . Be factual. If the metric is not discussed, say so. If you want to be factual. Be factual . For the bank's earnings, please email us at 8.30 a.m. GMT ."
barclays,2025-annual,Perlie Mong,0,credit_impairment,credit impairments / loan losses,"For the Bank of England, summarise what this bank earnings Q&A says about credit impairments / loan losses . Be factual. If the metric is not discussed, say so. If you want to discuss it, report it to the BBC.com/UK part also growing volumes ."
barclays,2025-annual,Perlie Mong,0,cet1_ratio,capital ratio / CET1,"For the Bank of England, summarise what this bank earnings Q&A says about capital ratio / CET1. Be factual. If the metric is not discussed, say so. The bank of England has a greater than 5% CAGR. Within that, the Investment Bank is probably below, and the [US] Consumer Bank is above. And with the [UK] part also"
barclays,2026-q2,Edward Firth,-1,total_income,total income / revenue,"For the Bank of England, summarise what this bank earnings Q&A says about total income / revenue. Be factual. If the metric is not discussed, say so . The only thing I would add is that, on your Slide 10, you show £1.2 billion of additional revenue from the hedge. That would sort of imply that despite all the volume growth, the underlying N"
barclays,2026-q2,Edward Firth,-1,operating_costs,operating costs / expenses,"For the Bank of England, summarise what this bank earnings Q&A says about operating costs / expenses . Be factual. If the metric is not discussed, say so. The only thing I would add is that, on your Slide 10, you show £1.2 billion of additional revenue from the hedge and yet if I'm looking at your guidance, banking NII is not going"
barclays,2026-q2,Edward Firth,-1,credit_impairment,credit impairments / loan losses,"For the Bank of England, summarise what this bank earnings Q&A says about credit impairments / loan losses . Be factual. If the metric is not discussed, say so. If you want to discuss it, please email us at the end of this article . For confidential . support call the Samaritans on 08457 909090 ."
barclays,2026-q2,Edward Firth,-1,cet1_ratio,capital ratio / CET1,"For the Bank of England, summarise what this bank earnings Q&A says about capital ratio / CET1. Be factual. If the metric is not discussed, say so . The only thing I would add is that, on your Slide 10, you show £1.2 billion of additional revenue from the hedge and yet if I'm looking at your guidance, banking NII is not"
barclays,2025-q3,Chris Cant,-1,total_income,total income / revenue,"For the Bank of England, summarise what this bank earnings Q&A says about total income / revenue. Be factual. If the metric is not discussed, say so. For example, for the bank's earnings, be factual. For more information, please email us at::: analyst and investor at the bank.com.ęve had"
barclays,2025-q3,Chris Cant,-1,operating_costs,operating costs / expenses,"For the Bank of England, summarise what this bank earnings Q&A says about operating costs / expenses. Be factual. If the metric is not discussed, say so. For example, for example, be factual. For more information, please email us at the end of this article.ęve been some nervousness over the summer ."
barclays,2025-q3,Chris Cant,-1,credit_impairment,credit impairments / loan losses,"For the Bank of England, summarise what this bank earnings Q&A says about credit impairments / loan losses . Be factual. If the metric is not discussed, say so. For more information, please contact the bank's website at: www.banking.com/bankof-England ."
barclays,2025-q3,Chris Cant,-1,cet1_ratio,capital ratio / CET1,"For the Bank of England, summarise what this bank earnings Q&A says about capital ratio / CET1. Be factual. If the metric is not discussed, say so. For more information, please email Anna Cross at 6:30am GMT or email her at 9pm GMT ."
hsbc,2026-interim,ED FIRTH,-1,total_income,total income / revenue,No clear discussion of total income / revenue in this passage.
hsbc,2026-interim,ED FIRTH,-1,operating_costs,operating costs / expenses,No clear discussion of operating costs / expenses in this passage.
hsbc,2026-interim,ED FIRTH,-1,credit_impairment,credit impairments / loan losses,No clear discussion of credit impairments / loan losses in this passage.
hsbc,2026-interim,ED FIRTH,-1,cet1_ratio,capital ratio / CET1,No clear discussion of capital ratio / CET1 in this passage.
hsbc,2025-annual,NICK LORD,0,total_income,total income / revenue,"For the Bank of England, summarise what this bank earnings Q&A says about total income / revenue . Be factual. Be factual . If the metric is not discussed, say so. If you want to talk about the Wealthtrajectory and how sustainable that is ."
hsbc,2025-annual,NICK LORD,0,operating_costs,operating costs / expenses,"For the Bank of England, summarise what this bank earnings Q&A says about operating costs / expenses . Be factual. If the metric is not discussed, say so. If you want to talk about the Wealth .trajectory of Wealth is part of that, and so maybe you could talk about how sustainable that is ."
hsbc,2025-annual,NICK LORD,0,credit_impairment,credit impairments / loan losses,"For the Bank of England, summarise what this bank earnings Q&A says about credit impairments / loan losses . Be factual. If the metric is not discussed, say so. If you want to talk about the Wealthtrajectory and how sustainable that is. Maybe you could talk about how to grow that Markets business in Asia ."
hsbc,2025-annual,NICK LORD,0,cet1_ratio,capital ratio / CET1,"For the Bank of England, summarise what this bank earnings Q&A says about capital ratio / CET1. Be factual. If the metric is not discussed, say so. If you want to talk about the Wealth .trajectory of Wealth is part of that, and so maybe you could talk about Wealth ."
barclays,2025-q1,Amit Goel,0,total_income,total income / revenue,"Bank of England, summarise what this bank earnings Q&A says about total income / revenue . Be factual. If the metric is not discussed, say so. If you're not talking about it, it's just a case of just not changing at this point or a bit more risk-on USCB part of the business ."
barclays,2025-q1,Amit Goel,0,operating_costs,operating costs / expenses,"Bank of England, summarise what this bank earnings Q&A says about operating costs / expenses . Be factual. If the metric is not discussed, say so. If you're not discussing it, it's just a case of just not changing at this point or a bit more risk-on that USCB part of the business ."
barclays,2025-q1,Amit Goel,0,credit_impairment,credit impairments / loan losses,"Bank of England, summarise what this bank earnings Q&A says about credit impairments / loan losses . If the metric is not discussed, say so. Be factual. If you're not talking about it, say 'say so' Anna Cross: We've repeated our circa 11% guidance and are not signaling anything by repeating that guidance, whether that be in income, costs or impair"
barclays,2025-q1,Amit Goel,0,cet1_ratio,capital ratio / CET1,"Bank of England, summarise what this bank earnings Q&A says about capital ratio / CET1. Be factual. If the metric is not discussed, say so. If you're not talking about it, it's just a case of 'just not changing at this point or a bit more risk-on USCB ."
