pair_id,bank,quarter,source,section,date,analyst,analyst_firm,speaker_type,question_text,answer_text,n_answer_turns,pair_mode,seed_topic_q,seed_topic_a,prudential8_q,prudential8_a,directness,metric_coverage,topic_substitution,question_sentiment,question_score,question_net,answer_sentiment,answer_score,answer_net
barclays_2024-annual_001,barclays,2024-annual,2024-fy-results-qa-transcript.pdf,qa,13 February 2025,Perlie Mong,Bank of America,analyst,"Hello. Thank you, Venkat. Thank you, Anna, for taking my question.","So, our focus is management, Perlie. What you should expect us to do is to execute the
operational plan and deliver the financials without surprises. That is our objective. And so, our
focus is on executing the plan that we've given you, and I would emphasize the greater than 12%
and the at least £10 billion. But our primary focus really is on executing that plan.
We're pleased with the progress that we've made in 2024. We've hit all of the targets and
guidance that we gave you, and we feel we've set the business up really well for momentum in
ff
2025 and 2026. And I just call out that di erence that I highlighted before. We are planning on
realistic assumptions because we want as much of this plan within our control as is possible.
However, if the market environment allows, whether that be interest rates, swap rates, or the
banking wallet, you should expect us to monetise that opportunity.
Venkat?
C.S. Venkatakrishnan
Yeah. Look, I'll emphasise that as well, which is that it's a realistic plan. It's a confident plan. It's a
confident plan which is based on strong structural progress across the things which we can
control, and then taking advantage of cyclical opportunities, as we did last year, and we expect
to, as they come up.
On the US Cards business, we remain confident for a couple of reasons. First of all, we gave you
the statistic of the number of accounts and the volume of receivables that come up for bid,
which is c.$40 billion [on average each year]. Second, is that we have locked up [more than 80%]
of our [total card] receivables through to 2029, and third, we have a retention rate of 90%, [i.e.]
renewal rate.
We operate in a very specialised place with mid-sized companies for whom we have a particular
skill at managing their card partnership portfolio and able to grow their balances and increase
customer engagement. And so, just like General Motors came in this year, we will continue to
look for these opportunities. I am fairly confident we will land them because when we participate
in these, we know [that] what we provide is very valuable in the market.
And then on the operational side, you know, we will continue [inaudible]. To come back to your
point on J-curve, first of all, if [80]% of the book is locked through 2029, there will be a J-curve
for new things, right. But as a proportion of the business, it's smaller.
[Anna], would you add anything?
Anna Cross So, Venkat's absolutely right. There are opportunities here to grow volume, but our RoTE
delivery is volume, capital e�ciency, cost e�ciency, and NIM.
C.S. Venkatakrishnan",2,consecutive,untagged,mixed,untagged,profitability_earnings,0.625,,0.0,positive,0.5325781106948853,0.5325781106948853,positive,0.6271202564239502,0.6271202564239502
barclays_2024-annual_002,barclays,2024-annual,2024-fy-results-qa-transcript.pdf,qa,13 February 2025,Ben Toms,RBC,analyst,"Ben Toms from RBC. Thanks for taking my questions.
There's been a lot of discussion over the last month around the government going softer on
regulation. For example, changes in LTV restrictions. Do any of the changes that have been put
forward actually have the potential to be material tailwinds? And how useful would it be to
Barclays if there was a levelling of the playing field on ring fencing so you could use the first £35
billion of your deposits to fund other parts of the Group?","So, Ben, there are three things I think being talked about. The first is, some reduction in the
restrictions around loan-to-income and [the second] is afordability stress testing. I think our
perception would be the second is probably more meaningful in the current environment, just
because of the interest rate environment that that afordability test is probably the one that
restrains the market a little bit more.",1,consecutive,capital,untagged,liquidity_funding,profitability_earnings,0.161,0.0,0.0,neutral,0.8818259239196777,0.0,neutral,0.7339950799942017,0.0
barclays_2024-annual_003,barclays,2024-annual,2024-fy-results-qa-transcript.pdf,qa,13 February 2025,Andrew Coombs,Citi,analyst,"Morning.
If I could just start with costs. Thank you for Slide 47. I'm just going to rephrase the slide, I guess,
essentially. £16.7 billion of costs in 2024. If we're thinking about this in absolute cost terms
rather than cost income, given that you've got the U.K. Tesco double run, investment in","So, let's just look at Slide 47, please. The answer is, yes. So, we're expecting our costs to go up in
2025 because of the annualisation of Tesco, because of the integration costs of Tesco and
because of those inflation headwinds that I talked about in my prepared remarks.
But underneath all of this, you've got a continued focus in gross e�ciency. So that's going to be
continuing. In 2025, inflation and investment outweigh the e�ciency. In 2026, it's the other way
around. So actually, I'm expecting costs to go above £17 billion. Actually, I think consensus is not
in a bad place. And then drop back. So, that's my expectation.
In terms of US Consumer Bank, in 2026, you're going to have those two ofsetting efects. As acquisition. There's a lot of focus on cards and whether Barclays is the right owner for the asset
given the diferential in capital loading that you are going to be having at some point. So, you're right, Tesco's got a high cost-income ratio, around 90%, and I think that reflects in and
of itself its lack of scale as a standalone business. So, I think our view is as follows. This actually
still is a cost takeout story, but this is a complex integration. It's not like a portfolio in asset run-
ff
o . It's a growing business, an active business, and credit cards have a daily and digital
interaction with the customers. So actually, it's quite a complex piece of work. But we are
confident that we can do it, and we're confident that we can execute it well. But it doesn't
happen as quickly as if, for example, we bought a mortgage portfolio, and that's really what
you're seeing here.",3,consecutive,efficiency,mixed,profitability_earnings,profitability_earnings,0.625,1.0,0.0,neutral,0.8569146990776062,0.0,neutral,0.7846060991287231,0.0
barclays_2024-annual_004,barclays,2024-annual,2024-fy-results-qa-transcript.pdf,qa,13 February 2025,KianAbouhossein,JP Morgan,analyst,"I had two questions. The first one is regarding the fixed income business. You discussed around
the market share gains and equities. And I just want to understand a little bit where you are on
the market share gains on fixed income, if you can talk a little bit about what has to happen for
that to come through.
And then, secondly, just getting back to Tesco Bank, I mean, for me, what's more interesting is
actually the customers that you gain. So, can you talk a little bit about the 3 million roughly
active customers in terms of overlap, but also the 20 million clubcard customers, what is really
the opportunity in terms of data that you're getting in the long term?
C.S. Venkatakrishnan","9
Investor Relations
So, within fixed income, we've had two focus areas. One was Securitised Products, and the other
was European Rates. And I think it's fair to say, Securitised Products did well through the year.
Credit, which has been a historical great strength of ours, was a smaller part of the overall wallet
last year, as spreads remained both subdued and tight. And then the third thing is that European Anna Cross
Okay, why not? Okay, can we go to Slide 71, please?
Okay. So, just for those of you who haven't got that far in the pack, we've split out, and I hope it
is helpful, the impact of a 25 basis point parallel shift in the curve between two impacts. The top
is the swap rates. For that, think the impact in structural hedge. That's why it builds over many
years. And then the bottom is the base rates. And there, what you have is two impacts in year
one, you have a timing impact. And then on a longer-term basis, you have a pass-through
impact, which is what Jonathan's asking about.
The reason that the numbers on the bottom there are so small is because of the proportion that
we hedge. And actually, if you compare this version to the version that we had earlier in the year,
you'll see that our sensitivity has increased. And the reason it's increased is obviously because
we've reduced the scale of the hedge as the year has progressed. So that is increasing our
relative sense, our absolute sensitivity, but we think that we are still relatively insensitive, just
because of the proportion that we hedge.",2,consecutive,untagged,untagged,profitability_earnings,market_traded_risk,0.344,,0.0,neutral,0.9272019863128662,0.0,neutral,0.531730592250824,0.0
barclays_2024-annual_005,barclays,2024-annual,2024-fy-results-qa-transcript.pdf,qa,13 February 2025,Chris Cant,Autonomous,analyst,"Good morning. It's Chris Cant from Autonomous. Thanks for taking my questions. I had a couple
ffi
on RWAs, please, and then one on head o ce.
So, on Slide 45, you present your RoTE bridge, and you gave us the similar slide last year. You've
got a 1.3% headwind in there over the two-year period from RWA growth. But obviously, some
of the regulatory impacts have been pushed back. Your American Airlines card book is coming
out. And essentially, I think you're probably going to undershoot your RWA growth target for US
Cards.
Why hasn't that RWA headwind come down relative to where you were last year? So, in the
equivalent bridge, '24 to '26, a year ago, you said greater than 1% headwind from RWAs. Now,
you're saying less than, I think it's less than 1.3% if I add those together. So, it seems to have
gone up despite the fact the RWA growth outlook looks better. What's going on there? Are we
missing something? Because the reg headwinds have been pushed further into the future. So,
it's now a 1.3% reduction here from RWAs in the RoTE bridge, and it was greater than 1% a year
ago. So, it looks like it's got worse despite the fact the RWA growth should be less. So, if you
could speak to that.
And sort of related on the deregulatory point, FRTB, I don't think you've ever given us a number.",,0,consecutive,capital,untagged,profitability_earnings,untagged,0.0,0.0,0.0,negative,0.5410476326942444,-0.5410476326942444,,0.0,0.0
barclays_2024-annual_006,barclays,2024-annual,2024-fy-results-qa-transcript.pdf,qa,13 February 2025,Elise Yu Ge,KBW,analyst,"Hello. It's Elise from KBW. Thank you for taking my questions. I've got two, both on IB numbers, if
that's okay. So, first is risk-weighted assets which decreased to 56% of the Group from 58%.
And that includes Tesco acquisitions. So, in terms of the target, how should we think about the
evolution to 50% by the end of '26? What exactly is the step down here? And then just in terms
of modelling, is the £199 billion the new level of numbers we should be using going forward, or
are we expecting it back to, say, '23 level, which is £197 billion? That's my first question, just with
two parts.
And second is RoTE. So, to hit the RoTE expectation, which is in line with the Group, more than
12%, it needs to improve earnings by about 23% without more capital. I'm just wondering how
exactly are you going to achieve that? I know, Anna, you mentioned more stabilised revenue and
disciplined costs, but are there any other areas that you're focused on that we should be aware
of? Thank you.
C.S. Venkatakrishnan","C.S. Venkatakrishnan
Okay.
Anna Cross
So, on the capital number, so getting to 50% is, as we set out last year, at least. So, we expect
the IB to be broadly stable. I would say FX is going to move that around, as you've seen from Q2
to Q3 to Q4, but broadly stable around that £200 billion mark. Remember that about 50% to
60% of our IB revenues are in US dollars. So, FX does make that number move around. But just to
remind you, you then got earnings and RWAs moving together. So, even though those RWAs are
going up and down with FX, I wouldn't expect that to have an impact on capital generation. So
that would be the first piece.
In terms of the overall sort of trajectory to 50%, it's holding that piece stable and continuing to
grow in those three focus UK businesses. I mean, you've seen us come out of 2024 with some
degree of acceleration. You should expect that to accelerate over the period. So, you might see
slightly more in 2026 than you see in 2025. But we'll report to you as we have done along the way
with the equivalent of Slide 14. So, you can see that progression.
Why don't I start with some maths and then I'll hand over to Venkat. Just in terms of the IB
RoTE, I mean, simplistically, it's gone from 7% to 8.5%, it's gone up by one and a half. We
recognize the three and a half at least to go. So, we're very conscious of that. And that comes in
a number of parts.
The first is clearly revenue. And Venkat talked about having delivered £0.6 billion of our £1.8
billion around our focus businesses. So, revenue growth is important here. And we're very
focused on the things that we can control. And those areas of focus not only within markets, but
the IB.
The second is revenue stability. And the reason this is important is we want an IB here which can
deliver in lots of diferent environments. So, we think of financing, and we think of the ICB as
ballast within that Investment Banking revenue. So that's also important.
If you take those two together, the third thing that's important is capital discipline. So, for the
third year in a row, we've got broadly flat RWAs in the IB. So, we're generating revenue
consistently. We're holding that capital flat consistently. And that's why the revenue over RWAs
has gone up.
And then the thing that is most in our control, and I'm talking about it last, but it's not least, is
costs and cost e�ciency. So, the IB CIR is down by 3 percentage points year-on-year. It's
delivered positive jaws in three quarters out of the last four. It needs to continue to do so. It's not
going to do so every quarter, but you'd expect it to do it more often than not, because we want
to get this business to a high 50s cost-income ratio. But even then, even in '26, it's not going to
be top quartile. So, it will have more opportunity in terms of e�ciency from that point.
Venkat?
C.S. Venkatakrishnan
I cannot improve on that answer. I'll just say one thing, which is that, I said last year that this is
the hardest part of our journey, what we do in the Investment Bank. Because as you said, what
we are trying to do is increase revenue, reduce costs, improve capital e�ciency while keeping
capital roughly flat, right. That we have done it in 2024, we are very pleased about, and it gives us
the confidence to continue to do it. And that confidence is what Anna stated in her numbers.
I think that was it.
Anna Cross",1,consecutive,mixed,mixed,profitability_earnings,profitability_earnings,0.494,1.0,0.0,neutral,0.8044422268867493,0.0,neutral,0.7737732529640198,0.0
barclays_2024-annual_007,barclays,2024-annual,2024-fy-results-qa-transcript.pdf,qa,13 February 2025,Amit Goel,Mediobanca,analyst,"Hi, thank you. It's Amit Goel here from Mediobanca. So, two questions. One, again, just coming
back to broader strategy, but I guess just thinking about the world as it is today versus how it
was maybe 12 months ago when you were putting the plan together, and the kind of opportunity
set that you see, it looks like there's perhaps a bit more opportunity in the US. Maybe
regulations a bit slower, discussion about growth in the UK, relative.
So, I appreciate you're executing against the plan that you've laid out, just around 12 months
ago, but curious if you were to rethink about it or think about where you would position capital, if
you're looking at it today, if there are any changes or anything else you would consider or think
about.
And then secondly, maybe a bit more kind of detail, but I think on the RoTE the Group delivered
for the year, this year, the 10.5%, I think, Q3, that was kind of guided to. So, I think the
environment was a bit better in Q4 from an FX and IB trading standpoint, maybe a slightly bigger
gain on Tesco. So just curious if there are any other factors that worked slightly in the other way
that you saw. Thank you.
C.S. Venkatakrishnan","So, you're right. We [think] there is a lot of opportunity potentially in the US. We certainly have it
in [Global Markets] and we could have it in [Investment Banking]. We've had some through the
last year and it may continue.
So, two things. First of all, as we've said, we have a fairly big US presence. The firm itself makes
about 40% of its revenue in US dollars. The Investment Banking side makes about two-thirds of
its revenue, 68% in the US So, we've got a huge presence there.
There is enough willingness and capital availability and flexibility within the Investment Bank and
for US Cards to be able to deploy it in those attractive opportunities. And in fact, if you take US
Cards to begin with, we've already said that what American, the non-renewal side of American,
what it does is that it gives us capital, which we look to deploy for higher risk-returning
businesses and to diversify our portfolio. The similar opportunity exists inside the Investment
Bank, and you've seen it in the deals we've taken in the US, as well as the strength of our Equities
franchise, which is very heavily US based as well. So, we'll deploy it and we'll adjust.
Anna Cross
On your second question, in terms of RoTE, as you would expect, we manage a number of puts
and takes in the delivery of our financials. So, you're right, there are a number of these things
that were certainly better. I'd call out rates, obviously better than our assumptions. The
Investment Banking wallet was better. We performed well in Equities. Deposits stabilised faster.
So, all of those things gave us a tailwind. But we talked about some of the headwinds here too,
some of which were quite evident in the fourth quarter. Venkat talked about FICC, we saw some
improvement in Q4 but it's definitely been weaker in the year and that's important because it's a
big business for us. We also saw some unforeseen inflation not just in the fourth quarter but
throughout the year. I'd call out the Bank of England levy in Q1, I'd call out Motor Fnance in Q4.
And of course, in the fourth quarter, as I said in my remarks, we actively deliberately took some
actions in Q4 to manage within the guidance that we've given you to actually accelerate some of
our e�ciency plans to really secure those costs in the outer years.
So, from our perspective, we're encouraged by what we delivered. We're managing actively
within the plan to deliver it with no surprises.
C.S. Venkatakrishnan
Well, thank you very much, everybody. We appreciate your time, your engagement, your
questions, and we welcome this participation. So, thank you again for joining us. I think there
might still be cofee outside and we'll come see you outside. Thank you.
Anna Cross
Thank you.
Important Notice
The terms Barclays or Group refer to Barclays PLC together with its subsidiaries. The
information, statements and opinions contained in this presentation do not constitute a public
ofer under any applicable legislation, an ofer to sell or solicitation of any ofer to buy any
securities or �nancial instruments, or any advice or recommendation with respect to such
securities or other �nancial instruments.
Information relating to:
•
regulatory capital, leverage, liquidity, resolution and related regimes is based on
Barclays' interpretation of applicable rules and regulations as in force and implemented
in the UK as at the reporting date, including, but not limited to: the UK implementation
of the Capital Requirements Directive; CRR; the PRA Rulebook; and any applicable
delegated acts, implementing acts or technical standards; in each case as amended and,
where applicable, as such rules and regulations form part of domestic law by virtue of
the European Union (Withdrawal)Act 2018.All such regulatory requirements are subject
to change and disclosures made by the Group will be subject to any resulting changes.
The Pillar 2A requirement is also subject to at least annual review;
•
MREL is based on Barclays' understanding of the Bank of England’s statement of policy
on ""The Bank of England's approach to setting a minimum requirement for own funds
and eligible liabilities (MREL)"" published in December 2021, and its MREL requirements
communicated to Barclays by the Bank of England. Binding future MREL requirements
remain subject to change, as determined by the Bank of England, taking into account a
number of factors as described in the policy, along with international developments;
•
future regulatory capital, leverage, liquidity, funding and/or MREL, including forward-
looking illustrations, are provided for illustrative purposes only and are not forecasts of
Barclays’ results of operations or capital position or otherwise. Illustrations regarding
the capital �ight path, end-state capital evolution and expectations and MREL build are
based on certain assumptions applicable at the date of publication only which cannot be
assured and are subject to change.
Non-IFRS performance measures
Barclays’ management believes that the non IFRS performance measures included in this
presentation provide valuable information to the readers of the �nancial statements as they
enable the reader to identify a more consistent basis for comparing the businesses’
performance between �nancial periods and provide more detail concerning the elements of
performance which the managers of these businesses are most directly able to in�uence or are
relevant for an assessment of the Group. They also re�ect an important aspect of the way in
which operating targets are de�ned and performance is monitored by Barclays’ management.",1,consecutive,capital,mixed,business_model_strategy,profitability_earnings,0.484,1.0,0.0,neutral,0.6637309193611145,0.0,positive,0.8279275298118591,0.8279275298118591
barclays_2024-q1_001,barclays,2024-q1,2024-q1-results-qa-transcript.pdf,qa,25 April 2024,Joseph Dickerson,Jefferies,analyst,"I just had a couple of questions on the UK business and then the US business. Just in terms of the UK
balance sheet versus the NII performance, and I note that the NIM, which I'm glad we're not talking about
as much anymore, was up 2 bps. And it looks like separately, the current account mix shift is starting to
settle now with GBP 59 billion of current account balances versus GBP 60 billion last quarter. So do you
think that we have kind of arrested the mix away from current accounts? I mean, clearly, the Bank of","Thanks for the questions. On the BUK question, I think it's worth just reflecting on slide 16, where we've
shown you the balance sheet progression as a deposit matter. And I think you're right, we are seeing
some stabilisation in underlying deposits. And the way I read that is partly through the current account
movement, but it's also whilst you continue to see some movement towards time deposits, that rate of
change has definitely slowed down. And what we see in Q1 is a mixture of those deposit trends
continuing, but at a slower pace and what I would describe as normal seasonality. So in Q1, people pay
their tax bills, they also pay off credit card bills, et cetera. And you also see that a little bit in business
banking. So I think it's as we expected to see. From here on in, I think now in Q2 and beyond, you get
almost beyond the ISA season, which can cause a bit of noise in the UK. I think we'd expect those deposit
trends to continue. So that's how I'd characterise those changes in the UK.
As far as the US is concerned, I think it’s worth looking at page 13, which is a replication of the slide that
we gave you at the year-end. And what that shows is we expected write-offs to increase in the US
because delinquencies had been rising through last year, in line with the industry, and as the standard
required us to, we reserve in advance. So what you see in Q1 is really a switch around in the balance
between reserving and actual write-offs, so write-offs have gone up, and reserving is now starting to
settle back down. So for 2024 we expect higher impairment charges in the first half, lower in the second
half and for the year, as a whole, to be lower than 2023. Yes, thanks. So let me begin and then Anna will take up the NII point. So in European rates, it's people and
a little bit of dealing with intensifying of the client penetration. So I would expect to be hiring people. We've
already got today a very strong presence in the primary markets in Europe, in DCM and especially with
government bond trading. And what we are doing is supplementing the skills that we have on the trading
desk. And I would expect, not in months, but in quarters, to start seeing some of the improvement. Of
course, it's a function of market environment as well but it's mostly an investment in people.
Anna Cross
Thanks, Ben. On your second question, I think it's worth looking at the new disclosure that we've given you
around the NII movement in the UK, which is on the bottom right of page 15. And what we're seeing here
in the quarter is more stability in margin than we saw throughout 2023. And you can see there that there's
still some product margin dilution, which is coming from mortgages and it's also coming from those
deposit changes, but largely offset by the continued strength in the structural hedge.
And what's really going on here is balance sheet movement. So the reduction in deposits that I talked
about before. Also just more of a broader market-wide movement in terms of reduction in mortgage
balances, so we continue to guide to circa GBP 6.1 billion for the full year. Still confident in that guidance.",2,consecutive,profitability,mixed,profitability_earnings,market_traded_risk,0.566,1.0,0.0,positive,0.9013831615447998,0.9013831615447998,neutral,0.4774588346481323,0.0
barclays_2024-q1_002,barclays,2024-q1,2024-q1-results-qa-transcript.pdf,qa,25 April 2024,Rohith Chandra-Rajan,Bank of America,analyst,"I had a couple on revenues, please. The first one's just coming to the Investment Bank, where revenue
performance is well below peers even after adjusting for the one-offs that you flagged, and that's
particularly the case for FICC and fees and even equities is off quite a low Q1 2023 base. So thanks very
much for the colour that you've given us in terms of the product narrative. I was just wondering, because
you target a lot of market share gain and quite a lot of improvement in return on risk-weighted assets, I'm
just wondering when we should think about that from a timing perspective? Is that a similar sort of time
3
frame to what Venkat was talking about in terms of the euro rates benefits coming through. So thinking
about seeing those market share and RoRWA benefits over the coming quarters. Is that realistic for the IB
as a whole?
And then the second one is just back on Barclays UK actually. Anna talked about mortgage flows being in
line with 2022. I just wanted to clarify what you were talking about there. Is that gross lending? Or is it
approvals because I think approvals particularly are up year-on-year significantly.","Anna Cross
Okay. Thanks, Rohit. I'll take both of those questions, and I'll start with the first. Venkat might wish to add.
So you're right. There are two particular quirks, if you like, in both Equities and our FICC numbers. In
Equities, there's a one-off in the current quarter, which we've called out, actually, excluding that, the
business is up 11% in dollar terms, which we actually believe compares very favourably to our US peers
and demonstrates that we're making progress - we called out cash, we all called out prime, and we called
out equity derivatives, which, of course, is one of our focus areas.
FICC, on the other hand, you might recall this time last year, we were talking about some inflation-specific
income in there, that does colour the comparisons a little bit. But even after we split that out, it's down
14% in dollar terms, which we don't believe lines up too unfavourably against our US peers.
There's a few things going on in there. We are pleased with the progress in securitised products. And in
previous quarters, we would have said we're small in that business, we still are. But we've been able to
monetise it much more effectively because of the investments that we've put in. And then across banking,",1,bleed_split,mixed,untagged,profitability_earnings,profitability_earnings,0.308,0.0,0.0,neutral,0.7390336990356445,0.0,positive,0.6129828095436096,0.6129828095436096
barclays_2024-q1_003,barclays,2024-q1,2024-q1-results-qa-transcript.pdf,qa,25 April 2024,Ed Firth,KBW,analyst,"Can I just ask you about capital? And firstly, could you just update us if there is any update on the US cards
business. I think it's Q3. I think we had GBP 16 billion. I'm not sure if that was my number or your number,
additional risk-weighted assets which I guess if you put on a pro forma now, that takes you really down to
13 or a little bit below. So I guess the first question is, is that still the right sort of number?
And then the second question is, I thought that the German consumer disposal would pay for some of that,
if that makes sense. And therefore, you still have plenty of capital in the second half. But it sounds like
that's not going to be so likely now. So am I right about that? Should we really be thinking that Q3 is going
to be a low point for capital? And how should we think about that in terms of capital distribution in the
second half?
4
Anna Cross
Thanks, Ed. There's a lot in that, but let me try and keep up. So no change to our guidance around the US
cards regulatory model changes. So still expecting 16. Still expecting that in the third quarter.","I would say is there are obviously a lot of moving parts here. There's the organic generation of capital,
which you can see in the first quarter has been strong. There's some seasonality in RWAs, which will
obviously move as the year goes on. And typically, we would expect Q1 to be in the middle of the range, or
maybe even slightly below the middle of our range because of that.
You've then got inorganic actions. And I'm not going to comment on the specific timing of the German
card disposal, but I would say it continues to progress. And then you've got business mitigants. So I'd call
out the Blackstone transaction, and you can imagine that we continue to work hard on RWA efficiency
across the group more broadly.",1,consecutive,capital,mixed,capital_adequacy,capital_adequacy,0.242,1.0,0.0,neutral,0.829425036907196,0.0,neutral,0.6807490587234497,0.0
