speaker,firm,topic,finbert_sentiment,finbert_score,text,episode_id,bank,quarter
KIAN ABOUHOSSEIN,JP MORGAN,1,negative,0.5464393496513367,"Two questions: the first one is related to tariffs. You gave guidance of 5% impact on revenues and I just wanted to see how we should think about that going forward, as you don’t see anything in the numbers today. And the second question is related to stage 1 and stage 2 movements. Clearly, your stage 2 has deteriorated. You discuss PDs, which have been adjusted, and I’m trying to understand a li…",hsbc_2025_h1,hsbc,2025-interim
KUNPENG MA,CHINA SECURITIES,1,negative,0.4596413969993591,"I have two questions on impairments. The first one is related to the BoCom impairment, especially that one with the VIU test. It seems that you conduct a VIU test every quarter, but you don’t charge impairments every quarter. It seems that the impairment charges always come together with other bad news. When you first charge the VIU impairment in the fourth quarter of 2023, you got French disposa…",hsbc_2025_h1,hsbc,2025-interim
KATHERINE LEI,JP MORGAN,1,neutral,0.9281997680664062,"I have three questions. The first is that I would want to ask about what are the outstanding parts of the threshold deduction related to the BoCom, if there is further impairment on BoCom? If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on your CET1 ratios and share buyback and EPS, and so forth? Number two is related to the $…",hsbc_2025_h1,hsbc,2025-interim
KENDRA YAN,CICC,2,neutral,0.8659449815750122,"I have two questions. The first is about the non-interest income. I’ve seen that HSBC delivered quite strong non-interest income in both quarter one and quarter two, primarily driven by the wealth management FX and the capital markets-related business. I wonder how you see the sustainability of this momentum going forward. The second question is about the stablecoin, because there are several cou…",hsbc_2025_h1,hsbc,2025-interim
JOSEPH DICKERSON,JEFFERIES,1,neutral,0.835599958896637,"Just a simple follow-up on the Hong Kong CRE, which I think you’ve done a pretty good job of addressing. I guess what drove the timing of this charge, because some of the dynamics that you point out in the interim report you could have easily argued were there in Q4, so I guess what drove the timing of today versus Q4? And then, is there any way to gauge what you think the appropriate coverage le…",hsbc_2025_h1,hsbc,2025-interim
Benjamin Toms,RBC,0,negative,0.7504522204399109,"Good morning both. Thank you for taking my question. The �rst one's on PBWM. Net New AUM in PBWM in Q2 was relatively weak. What's impacting performance here? I think I was a little surprised, my feeling was you've been quite active in trying to make your proposition more attractive in this space.",barclays_2026_h1,barclays,2026-q2
Benjamin Toms,RBC,-1,neutral,0.9108616709709167,"Thank you. Anna Cross Okay, thank you, Ben. Perhaps we could go to the next question, please.",barclays_2026_h1,barclays,2026-q2
Jonathan Pierce,Jeferies,-1,neutral,0.8746339678764343,Okay thanks very much. Anna Cross,barclays_2026_h1,barclays,2026-q2
Amit Goel,Mediobanca,0,neutral,0.8450940251350403,"Hi, thank you. I've got two questions. So one, just coming back on the additional SCAs, I was actually a bit surprised by the 100% return on investment. So, I just really wanted to understand a bit better, like if the returns on that type of investment are so high, wouldn't the Group be doing that kind of investment in any case? And, why limit it at the amounts being done? Why not more? And then …",barclays_2026_h1,barclays,2026-q2
Edward Firth,KBW,-1,neutral,0.8425618410110474,"The only thing I would add is that, on your Slide 10, you show £1.2 billion of additional revenue from the hedge and yet if I'm looking at your guidance, banking NII is not going to grow by £1.2 billion, it's going to be somewhat less than that. So that would sort of imply that despite all the volume growth, the underlying NII, if it wasn't for the hedge, we wouldn't be getting really any NII gro…",barclays_2026_h1,barclays,2026-q2
