bank,quarter,speaker,topic,finbert_sentiment,metric,metric_label,summary,faithfulness_overlap,method
hsbc,2025-interim,KIAN ABOUHOSSEIN,1,negative,total_income,total income / NII / revenue,"You gave guidance of 5% impact on revenues and I just wanted to see how we should think about that going forward, as you don’t see anything in the numbers today.",1.0,extractive
hsbc,2025-interim,KIAN ABOUHOSSEIN,1,negative,operating_costs,operating costs / efficiency,Metric (operating costs / efficiency) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,KIAN ABOUHOSSEIN,1,negative,credit_impairment,credit impairment / ECL,And the second question is related to stage 1 and stage 2 movements.,1.0,extractive
hsbc,2025-interim,KIAN ABOUHOSSEIN,1,negative,cet1_ratio,CET1 / capital ratio,Metric (CET1 / capital ratio) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,KUNPENG MA,1,negative,total_income,total income / NII / revenue,Metric (total income / NII / revenue) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,KUNPENG MA,1,negative,operating_costs,operating costs / efficiency,"You increased the credit cost assumption going forward due to the Hong Kong CRE pressure. When you first charge the VIU impairment in the fourth quarter of 2023, you got French disposal loss, you got a slight miss on the cost control, so you charged the first time and, in this quarter, you got the BoCom dilution impairment.",1.0,extractive
hsbc,2025-interim,KUNPENG MA,1,negative,credit_impairment,credit impairment / ECL,"It seems that VIU impairment charges always come together with other bad news. The first one is related to the BoCom impairment, especially that one with the VIU test.",1.0,extractive
hsbc,2025-interim,KUNPENG MA,1,negative,cet1_ratio,CET1 / capital ratio,Metric (CET1 / capital ratio) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,AMAN RAKKAR,1,neutral,total_income,total income / NII / revenue,"Is there just too much uncertainty around HIBOR? At face value, your banking NII guidance is circa $42 billion for the year.",1.0,extractive
hsbc,2025-interim,AMAN RAKKAR,1,neutral,operating_costs,operating costs / efficiency,"The second question is around costs, please. To me, next year – I think it should be flattish costs next year.",1.0,extractive
hsbc,2025-interim,AMAN RAKKAR,1,neutral,credit_impairment,credit impairment / ECL,"The second part of that first question, if I may, is: can you help me understand the levers that you’re pulling and are able to continue pulling from here to offset this HIBOR decline?",1.0,extractive
hsbc,2025-interim,AMAN RAKKAR,1,neutral,cet1_ratio,CET1 / capital ratio,Metric (CET1 / capital ratio) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,JOSEPH DICKERSON,1,neutral,total_income,total income / NII / revenue,Metric (total income / NII / revenue) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,JOSEPH DICKERSON,1,neutral,operating_costs,operating costs / efficiency,Metric (operating costs / efficiency) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,JOSEPH DICKERSON,1,neutral,credit_impairment,credit impairment / ECL,Metric (credit impairment / ECL) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,JOSEPH DICKERSON,1,neutral,cet1_ratio,CET1 / capital ratio,"And then, is there any way to gauge what you think the appropriate coverage level is because, clearly, I think you also had about 20 bps of credit risk migration in last year’s CET1 from this.",1.0,extractive
hsbc,2025-interim,KATHERINE LEI,1,neutral,total_income,total income / NII / revenue,Metric (total income / NII / revenue) not clearly discussed in this turn.,1.0,extractive
hsbc,2025-interim,KATHERINE LEI,1,neutral,operating_costs,operating costs / efficiency,Number two is related to the $0.6 billion of restructuring-related costs.,1.0,extractive
hsbc,2025-interim,KATHERINE LEI,1,neutral,credit_impairment,credit impairment / ECL,"The first is that I would want to ask about what are the outstanding parts of the threshold deduction related to the BoCom, if there is further impairment on BoCom? If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on your CET1 ratios and share buyback and EPS, and so forth?",1.0,extractive
hsbc,2025-interim,KATHERINE LEI,1,neutral,cet1_ratio,CET1 / capital ratio,"If there’s further impairment on BoCom, what would the amount be in order for that future impairment to have an impact on your CET1 ratios and share buyback and EPS, and so forth?",1.0,extractive
barclays,2026-q2,Benjamin Toms,0,negative,total_income,total income / NII / revenue,"I think I was a little surprised, my feeling was you've been quite active in trying to make your proposition more attractive in this space.",1.0,extractive
barclays,2026-q2,Benjamin Toms,0,negative,operating_costs,operating costs / efficiency,Metric (operating costs / efficiency) not clearly discussed in this turn.,1.0,extractive
barclays,2026-q2,Benjamin Toms,0,negative,credit_impairment,credit impairment / ECL,Metric (credit impairment / ECL) not clearly discussed in this turn.,1.0,extractive
barclays,2026-q2,Benjamin Toms,0,negative,cet1_ratio,CET1 / capital ratio,Metric (CET1 / capital ratio) not clearly discussed in this turn.,1.0,extractive
barclays,2026-q2,Edward Firth,1,neutral,total_income,total income / NII / revenue,Metric (total income / NII / revenue) not clearly discussed in this turn.,1.0,extractive
barclays,2026-q2,Edward Firth,1,neutral,operating_costs,operating costs / efficiency,"So even with that additional investment, will costs in BUK still be down each year for the next three years? The �rst one, in terms of this additional investment in the second half, I think previously you were committed to BUK costs falling every year for the next three years, I think that's the way you articulated it.",1.0,extractive
barclays,2026-q2,Edward Firth,1,neutral,credit_impairment,credit impairment / ECL,Metric (credit impairment / ECL) not clearly discussed in this turn.,1.0,extractive
barclays,2026-q2,Edward Firth,1,neutral,cet1_ratio,CET1 / capital ratio,Metric (CET1 / capital ratio) not clearly discussed in this turn.,1.0,extractive
