speaker,firm,role,text,bank,quarter,source,clean_text,topic,finbert_sentiment,finbert_score,finbert_net,ldsa_sentiment,ldsa_net,refined_topic
Amit Goel,Mediobanca,analyst,"Hi, thank you for taking my questions. So, two follow-up questions, actually. One, just coming
back in terms of the strategy update or new targets for 2028 that we get with full year [results].
I'm just kind of curious how you're going through that process and are you thinking about kind of
things like revising capital allocation to the businesses, things like that? Or is it more about
e�ciency and driving more out of the business with the kind of path already set?
And then secondly, just on the USCB, I think you remarked earlier that for the next couple of
quarters, so Q4, Q1, you'd anticipate a kind of a flattish NIM on what we've just seen, the 11.5%.
I'm just kind of curious, given the factors that you outlined before in terms of improvement, why
that would be flat and why that wouldn't continue to show a bit of growth in the coming periods.
Thank you.
C.S. Venkatakrishnan",barclays,2025-q3,2025-q3-results-qa-transcript.pdf,hi thank taking questions two questions actually one coming back terms strategy update new targets get full year results kind curious going process thinking kind things like revising capital allocation businesses things like driving business kind path already set secondly uscb think remarked earlier next couple quarters q q anticipate kind flattish nim seen kind curious given factors outlined terms improvement would flat would continue show bit growth coming periods thank venkatakrishnan,1,neutral,0.8427486419677734,0.0,positive,0.011976047904191617,1
Alvaro Serrano,Morgan Stanley,analyst,Good morning. Alvaro Serrano from Morgan Stanley. Thanks for taking my questions.,barclays,2026-q1,2026-q1-results-qa-transcript.pdf,good morning alvaro serrano morgan stanley thanks taking questions,2,neutral,0.7929467558860779,0.0,neutral,0.0,0
Amit Goel,Mediobanca,analyst,"Hi, thank you. So, two questions from me. One was just back on BUK, but just on the cost piece.",barclays,2026-q1,2026-q1-results-qa-transcript.pdf,hi thank two questions one back buk cost piece,1,neutral,0.8947853446006775,0.0,neutral,0.0,1
Edward Firth,KBW,analyst,"13
Investor Relations
Yeah, thanks very much. Good morning, everybody. I just had two questions.
The �rst one, in terms of this additional investment in the second half, I think previously you were
committed to BUK costs falling every year for the next three years, I think that's the way you
articulated it. Is that still your commitment? So even with that additional investment, will costs in
BUK still be down each year for the next three years? That was question number one.
And then the second question was a slightly broader question. I get what you're saying about the",barclays,2026-q2,2026-q2-results-qa-transcript.pdf,investor relations yeah thanks much good morning everybody two questions one terms additional investment second half think previously committed buk costs falling every year next three years think way articulated still commitment even additional investment costs buk still year next three years question number one second question slightly broader question get saying,1,neutral,0.5817930698394775,0.0,neutral,0.0,1
KUNPENG MA,CHINA SECURITIES,analyst,"Hi, Georges. Hi, Pam. This is Kunpeng of China
Securities. Thank you for taking my question. I have two questions. The first is also some
follow-ups on the plausible downside trade scenario. If we compare the – you have two
scenario tests – one for trade, one for ECL – and we got your set of assumptions for those ECL
tests from your annual report. So if we compare those two tests, are the assumptions for the
trade test better or worse than the – I mean the downside scenario – better or worse than those
set of assumptions used in the ECL test? And also, is the low single-digit revenue impact just
for some one-year revenue or for every year’s revenue thereafter? That’s the first question.
The second question is, could you please give us some colour on the latest trend on Hong
Kong CRE? Thank you.",hsbc,2025-q1,2025-1q-investors-analysts-transcript.pdf,hi georges hi pam kunpeng china securities thank taking question two questions first also plausible downside trade scenario compare two scenario tests one trade one ecl got set assumptions ecl tests annual report compare two tests assumptions trade test better worse mean downside scenario better worse set assumptions used ecl test also low revenue impact revenue every year revenue thereafter first question second question could please give us colour latest trend hong kong cre thank,1,neutral,0.8550405502319336,0.0,neutral,0.0,-1
JASON NAPIER,UBS,analyst,"Good morning. So two questions, please. The first, Georges, HSBC
is a signatory to a letter suggesting to the UK regulators that ringfencing is something that
should go. I think that’s the right view, but we’ve got a lot of investor demand for a sense from
you as to the motivation for that. What is it that you’d say in terms of opex funding costs and
Page 6 of 13
what restructuring charges may go with that? So when you made that motivation, what was
the maths behind it?
And then, secondly, very strong performance in costs in Q1, but guidance held constant for the
year ahead. I guess that implies potentially some slippage in efficiency ratios in the quarters
to come, notwithstanding the cost-saving actions that are underway. Could you talk a little bit
about the moving parts, just quarter-to-quarter volatility? Is there anything we should be
thinking about in the upcoming quarters as far as cost inflation is concerned? Thanks very
much.",hsbc,2025-q1,2025-1q-investors-analysts-transcript.pdf,good morning two questions please first georges hsbc signatory letter suggesting uk regulators ringfencing something go think right view got lot investor demand sense motivation say terms opex funding costs page restructuring charges may go made motivation maths behind secondly strong performance costs q guidance held constant year ahead guess implies potentially slippage efficiency ratios quarters come notwithstanding actions underway could talk little bit moving parts volatility anything thinking upcoming quarters far cost inflation concerned thanks much,1,neutral,0.6470581293106079,0.0,neutral,0.0,-1
AMIT GOEL,MEDIOBANCA,analyst,"Hi. Thank you. A potential follow-up, actually, to Kian’s question.
Thank you, and I understand essentially that plausible downside tariff scenarios are pretty
similar or closer to the ECL downside one rather than the downside two type case. Again, just
coming back in terms of the broader profitability mid-teens target, so essentially, you’re saying
that if we were to see that plausible downside scenario, you still believe you can achieve that
mid-teens profitability level, and that’s before factoring in any further cost actions, or would that
be with any kind of re-jigging or additional cost action taken by the group to mitigate some of
that impact?
And then secondly, I just wanted to check – when I look at the downside one ECL scenario
now versus at full-year, it seems like the China and Hong Kong drawdown is not quite as
severe. I see the US is maybe a little bit – 30 bps more severe, so I was also kind of curious
why that downside scenario is not quite as negative, perhaps, as what you assessed at the full-
year stage. Thank you.",hsbc,2025-q1,2025-1q-investors-analysts-transcript.pdf,hi thank potential actually kian question thank understand essentially plausible downside tariff scenarios pretty similar closer ecl downside one rather downside two type case coming back terms broader profitability target essentially saying see plausible downside scenario still believe achieve profitability level factoring cost actions would kind additional cost action taken group mitigate impact secondly wanted check look downside one ecl scenario versus seems like china hong kong drawdown quite severe see us maybe little bit bps severe also kind curious downside scenario quite negative perhaps assessed year stage thank,1,neutral,0.7696542739868164,0.0,neutral,0.0,-1
ANDREW COOMBS,CITIGROUP,analyst,"Morning. If I could have a couple on the organisational
simplification and then also just one clarification on wealth. On the organisational simplification,
you previously guided to $1.8 billion of restructuring costs, and you said the majority of that is
expected to be booked in 2025. I think you only took $141 million in Q1, so presumably, we
should expect a big step-up in the restructuring charges from Q2 onwards for the rest of this
year. And then the second question attached to this is you said that the actions you’ve taken
to date would already translate into $300 million of annualised savings. I appreciate in Q1,
you’ve had very little of that, but nonetheless, you’re still guiding to $300 million for the full year
2025 when you’ve already achieved $300 million annualised and there’s presumably more to
come over the remaining year with the additional restructuring. So can you just clarify a bit
there on why more of the savings are not flowing into full-year 2025 compared to 2026?
And then on wealth, given the new segmental split, is it possible to get the split of the Asian
invested assets and the $16 billion Asian net new invested assets this quarter that’s attributable
to Hong Kong? Thank you.",hsbc,2025-q1,2025-1q-investors-analysts-transcript.pdf,morning could couple organisational simplification also one clarification wealth organisational simplification previously guided billion restructuring costs said majority expected booked think took million q presumably expect big restructuring charges q onwards rest year second question attached said actions taken date would already translate million annualised savings appreciate q little nonetheless still guiding million full year already achieved million annualised presumably come remaining year additional restructuring clarify bit savings flowing compared wealth given new segmental split possible get split asian invested assets billion asian net new invested assets quarter attributable hong kong thank,1,neutral,0.790560245513916,0.0,neutral,-0.004830917874396135,1
ED FIRTH,KBW,analyst,"Good morning, everybody. Thanks very much for taking the questions. I
just had a couple. The first one – I noticed that your cost guidance is based on an average
Page 10 of 13
exchange rate in Q1, but the US dollar is off 6% since then, so I assume that if we were to
actually do that at today’s exchange rate, your cost number would be somewhat higher than
that. I’m just trying to check – is your revenue guidance also based on those exchange rates?
Is it effectively like we should gear up both revenue and costs for the weakened dollar in terms
of our expectations? That’s the first point.
I guess partly related to that, are we actually in the plausible downside scenario now? Trade
flows from China to the US are down 45% booking, something like that. That feels to me like
a pretty downside scenario. Should we assume that as we go through Q2 and Q3, we are
actually in that scenario now? Is that effectively where we are, assuming nothing changes?
And I guess nobody has any idea what will happen in terms of the changes, but assuming we
stay where we are today.
And then my second question was just about Bocom. I can’t really understand the accounting,
because you’re still running with a valuation that’s $10 billion above the market value, but you
didn’t subscribe for new shares with the capital raise, which I assume you would have done if
you had thought it really was worth that much more. Should we be expecting you to correct
that down to what would be a market price rather than just the $1.6bn? Should we be revisiting
how you do the – I think you call it value in use, something like that. Thanks very much.",hsbc,2025-q1,2025-1q-investors-analysts-transcript.pdf,good morning everybody thanks much taking questions couple first one noticed cost guidance based average page exchange rate q us dollar since assume actually today exchange rate cost number would somewhat higher trying check revenue guidance also based exchange rates effectively like gear revenue costs weakened dollar terms expectations first point guess partly related actually plausible downside scenario trade flows china us booking something like feels like pretty downside scenario assume go q q actually scenario effectively assuming nothing changes guess nobody idea happen terms changes assuming stay today second question bocom really understand accounting still running valuation billion market value subscribe new shares capital raise assume would done thought really worth much expecting correct would market price rather revisiting think call value use something like thanks much,1,neutral,0.5878826379776001,0.0,neutral,0.0,-1
KATHERINE LEI,JP MORGAN,analyst,"Thank you. I have two questions. The first one, I still want to
ask about the tariff scenario, because I think for at least investors in this part of the world, I
think it’s widely expected that the Chinese government will have more stimulus policy because
of the tariffs. So in your downside scenario analysis, have you incorporated some of the
positive impact from the stimulus policies which could potentially be benefitting the Hong Kong,
China market? I think this is number one.
Number two, I still want to ask about loan growth, because now the guidance is there will be
muted loan demands in 2025. When we’re giving this type of guidance, what sort of tariff
environments are we incorporating? Also, is there any guidance on, say, for example, deposit
growth and also banking asset or interest-generating asset growth? How should we look at
this whole thing? Thank you.",hsbc,2025-q1,2025-1q-investors-analysts-transcript.pdf,thank two questions first one still want ask tariff scenario think least investors part world think widely expected chinese government stimulus policy tariffs downside scenario analysis incorporated positive impact stimulus policies could potentially benefitting hong kong china market think number one number two still want ask loan growth guidance muted loan demands giving type guidance sort tariff environments incorporating also guidance say example deposit growth also banking asset asset growth look whole thing thank,1,neutral,0.8925901651382446,0.0,positive,0.019736842105263157,0
YAN JIAHUI,CICC,analyst,"Thanks for taking my questions. My question is also about tariffs. Could
you give an example of how your major clients react to tariff policy in April? Are they facing a
sharp decline in business demand or are they actively seeking the solutions to reduce the effect
of tariffs, or just to cut their business? And how HSBC help them navigate through the
challenge from the tariffs, and beyond risks, have we seen any new business opportunities for
HSBC in this context? Thank you.
Page 12 of 13",hsbc,2025-q1,2025-1q-investors-analysts-transcript.pdf,thanks taking questions question also tariffs could give example major clients react tariff policy april facing sharp decline business demand actively seeking solutions reduce effect tariffs cut business hsbc help navigate challenge tariffs beyond risks seen new business opportunities hsbc context thank page,1,neutral,0.8110896348953247,0.0,negative,-0.03488372093023256,-1
KENDRA YAN,CICC,analyst,"Thanks for taking my questions. My first question is regarding to the
wealth management revenue. We observed a very strong, very rapid growth rate in the third
quarter. Could you elaborate on the key drivers behind this performance and its sustainability?
My second question is about the credit risk. In recent weeks, we’ve seen some risk involving
the US market, the small and medium-sized banks in the US. They have some risk. And also
JP Morgan – they cautioned the market about credit risk during its earnings call. Although
HSBC’s primary client base is not in this segment, still I’d like to ask whether HSBC has any
exposure or concern in loans to non-bank financial institutions or the private credit corporate
sector. Thanks.",hsbc,2025-q3,2025-3q-investors-analysts-transcript.pdf,thanks taking questions first question regarding wealth management revenue observed strong rapid growth rate third quarter could elaborate key drivers behind performance sustainability second question credit risk recent weeks seen risk involving us market small banks us risk also jp morgan cautioned market credit risk earnings call although hsbc primary client base segment still like ask whether hsbc exposure concern loans financial institutions private credit corporate sector thanks,2,neutral,0.8756993412971497,0.0,negative,-0.023622047244094488,0
KIAN ABOUHOSSEIN,JP MORGAN,analyst,"Thanks for taking my questions. Just to come back on
the NBFI exposure, because you mentioned private credit just now, single digit – NBFI would
be similar. Clearly you get your US legal entity exposures, as well as the branches, which is
below $10 billion, so should we see that as overall group exposure roughly for total NBFI? Can
you confirm that?
Secondly, on tariff scenarios, you gave an impact scenario or sensitivity scenario of low single
digit on group revenues before. Clearly, things have changed, but also that was on a very
specific part of your business. I’m just trying to understand how you’re thinking about impact
scenarios going forward in the current situation and expectation of a trade deal and, secondly,
also what the impact has been so far.",hsbc,2025-q3,2025-3q-investors-analysts-transcript.pdf,thanks taking questions come back nbfi exposure mentioned private credit single digit nbfi would similar clearly get us legal entity exposures well branches billion see overall group exposure roughly total nbfi confirm secondly tariff scenarios gave impact scenario sensitivity scenario low single digit group revenues clearly things changed also specific part business trying understand thinking impact scenarios going forward current situation expectation trade deal secondly also impact far,1,neutral,0.8671728372573853,0.0,neutral,0.0,-1
CHEN LI,CHINA SECURITIES,analyst,"Thanks, Pam. I also have questions about wealth
management, because of the further interest rate cut, so whether resident new customers in
Hong Kong will slow down or keep stable. Also, how will the migration of retail deposits into
wealth management products impact on wealth management revenue? Thank you.",hsbc,2025-q3,2025-3q-investors-analysts-transcript.pdf,thanks pam also questions wealth management interest rate cut whether resident new customers hong kong slow keep stable also migration retail deposits wealth management products impact wealth management revenue thank,2,neutral,0.7460983991622925,0.0,neutral,0.0,0
JOE DICKERSON,JEFFERIES,analyst,"Good set of results, guys. Just a quick question on the costs.
If you look at the 2026 number that you’ve given, the 1% growth, I know you’ve got your
recycling. How do you think about, when you peel that back – and what’s the metabolic rate of
growth in costs, particularly coming from investments, because you clearly have some global
peers who have accelerated their investments around AI? So I was just curious how you think
about that.
And then, secondly, a nit-picky question, but what rate of HIBOR have you assumed in the
banking NII guide of greater than $45 billion? Thanks.",hsbc,2025-annual,2025-annual-investors-analysts-transcript.pdf,good set results guys quick question costs look number given growth know got recycling think peel back metabolic rate growth costs particularly coming investments clearly global peers accelerated investments around ai curious think secondly question rate hibor assumed banking nii guide greater billion thanks,1,neutral,0.9003502130508423,0.0,positive,0.019230769230769232,1
MELISSA KUANG,GOLDMAN SACHS,analyst,"Just two questions. In terms of the strategy that you
have, rising to 5% revenue growth, I just wanted to see if you can give a bit of a CAGR growth
instead, so we can understand the pathway there. In terms of that, will it be coming largely from
the non-banking NII portion, or will it be from the banking NII? That’s my first question.
On the second question, perhaps on the restructuring cost at HSBC of $0.6 billion, can you just
give a little flavour about what is it that we are doing and this in terms of the restructuring that
we need such a cost? Where are we focusing on in terms of delivery, and then how we’ll see
the revenue synergies? In terms of the revenue synergies, can it be as quick as next year, or
will it be more heavy into 2028 as per your three-year guidance, rising to 5%?",hsbc,2025-annual,2025-annual-investors-analysts-transcript.pdf,two questions terms strategy rising revenue growth wanted see give bit cagr growth instead understand pathway terms coming largely nii portion banking nii first question second question perhaps restructuring cost hsbc billion give little flavour terms restructuring need cost focusing terms delivery see revenue synergies terms revenue synergies quick next year heavy per guidance rising,1,neutral,0.8923765420913696,0.0,positive,0.012987012987012988,1
KIAN ABOUHOSSEIN,JP MORGAN,analyst,"Thanks for taking my questions. First of all, Georges,
congratulations. I have to say you’re really driving the bank to a better process and discipline
we haven’t seen in HSBC before, if I may say so.
To the questions, tech stack – can you go a little bit more into detail? You gave a number in
2022 that you’re spending about 20% on IT as a percentage of expenses. I’m wondering if we
should think about a similar ballpark. Within that, can you go a little bit under the hood and
discuss where are you on cloud transformation? Are you done? Where are we on platforms?
Are you done or what platforms still have to be produced new or integrated data management?
So I really want to understand a little bit what you’re doing on the tech side.
And then, CRE, this is still an area where I’m a little bit uncomfortable. Stage 3 CRE China,
18% coverage; 14% on Hong Kong stage 3 – can you talk a little bit where you want to drive
that to? And clearly, I heard Pam’s remarks about provisions, and CRE was mentioned.",hsbc,2025-annual,2025-annual-investors-analysts-transcript.pdf,thanks taking questions first georges congratulations say really driving bank better process discipline seen hsbc may say questions tech stack go little bit detail gave number spending percentage expenses wondering think similar ballpark within go little bit hood discuss cloud transformation done platforms done platforms still produced new integrated data management really want understand little bit tech side cre still area little bit uncomfortable stage cre china coverage hong kong stage talk little bit want drive clearly heard pam remarks provisions cre mentioned,1,neutral,0.8963410258293152,0.0,neutral,0.0,0
CHEN LI,CHINA SECURITIES,analyst,"I have a question about the preservation of Hang Seng Bank.
Could you provide further information about the growth opportunities? I want to know which
aspects of the wealth management business will have stronger synergies with Hang Seng
Bank, and what are the outlooks for the Wealth balances and Wealth Management margins?",hsbc,2025-annual,2025-annual-investors-analysts-transcript.pdf,question preservation hang seng bank could provide information growth opportunities want know aspects wealth management business stronger synergies hang seng bank outlooks wealth balances wealth management margins,2,neutral,0.820000946521759,0.0,positive,0.019230769230769232,0
ED FIRTH,KBW,analyst,"I just had two questions. One, just talking about the HIBOR benefit in Q4 for
your net interest income, I think one of your peers talked about it as a temporary benefit. I
guess I’m not close enough to the franchises and how you price, etc, domestically. Do you
know, is there anything peculiar about you or some of the peers about the way you repriced
CASA accounts or something in Q4 which would mean that yours should be sustained, but
somebody else’s might be temporary? So I guess that’s the first question.
The second question is, I guess, slightly an extension of Rob’s question. I’m not quite sure
what is so specific about 2028 that means you can get 5% revenue growth there, but I assume
you don’t feel you can before then. I know that at the moment in 2026 we’ve got some
headwinds from interest rates, but you’ve also got very strong tailwinds around things like
wealth management. Pam highlighted that. And 2027, I guess, should be a reasonably normal
year. So I’m just trying to think, is there something that I need to think about that you can see
that is happening from 2028 and beyond that will make your revenue growth better that we’re
not seeing today? Thanks very much.",hsbc,2025-annual,2025-annual-investors-analysts-transcript.pdf,two questions one talking hibor benefit q net interest income think one peers talked temporary benefit guess close enough franchises price etc domestically know anything peculiar peers way repriced casa accounts something q would mean sustained somebody else might temporary guess first question second question guess slightly extension rob question quite sure specific means get revenue growth assume feel know moment got headwinds interest rates also got strong tailwinds around things like wealth management pam highlighted guess reasonably normal year trying think something need think see happening beyond make revenue growth better seeing today thanks much,2,neutral,0.833795428276062,0.0,neutral,0.00909090909090909,0
ALASTAIR WARR,AUTONOMOUS,analyst,"Two questions. Back to Hang Seng Bank, I’m afraid. You
touched on potential upside from asset quality improving. I just wondered if that’s something
you’re thinking about in terms of maybe more active steps, or is this just about being patient
with the property cycle? Then just on the wealth side for a second question, looks like there’s
a bit of a slowdown in the new account opening in fourth quarter if you’ve got 1.1 million
customers for the year and you were running at about 300,000 a quarter. Is that just seasonal,
or anything’s changing there that we should be aware of? Thank you.",hsbc,2025-annual,2025-annual-investors-analysts-transcript.pdf,two questions back hang seng bank afraid touched potential upside asset quality improving wondered something thinking terms maybe active steps patient property cycle wealth side second question looks like bit slowdown new account opening fourth quarter got million customers year running quarter seasonal anything changing aware thank,2,negative,0.5225224494934082,-0.5225224494934082,neutral,0.0,-1
KATHERINE LEI,JP MORGAN,analyst,"My question is still on revenue side. I think the 5% revenue
growth in 2028, and then the above 17% ROTE guidance, I think these two key drivers, one
will be on NII, and the other will be on wealth. My question is on NII. What gives HSBC the
confidence then on the sustainability of the deposit growth? One trend we noted is that, say,
for example in mainland China, with RMB appreciation and also mainland China starting to tax
its citizens globally, will that actually slow down, for example, mainland Chinese nationals
coming to Hong Kong to open new accounts and then the money flow movement? So can we
be more a bit specific on what are the key drivers and then the key path on the deposit growth?
This is number one.
Number two is on wealth and on that trend. What do you think that will have an impact on
wealth as well?",hsbc,2025-annual,2025-annual-investors-analysts-transcript.pdf,question still revenue side think revenue growth rote guidance think two key drivers one nii wealth question nii gives hsbc confidence sustainability deposit growth one trend noted say example mainland china rmb appreciation also mainland china starting tax citizens globally actually slow example mainland chinese nationals coming hong kong open new accounts money flow movement bit specific key drivers key path deposit growth number one number two wealth trend think impact wealth well,2,neutral,0.8981848359107971,0.0,positive,0.026143790849673203,0
